Infinitive,отне́киваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отне́кивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отне́кивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отне́киваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отне́кивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отне́киваюсь
2nd Sing,отне́киваешься
3rd Sing,отне́кивается
1st Pl,отне́киваемся
2nd Pl,отне́киваетесь
3rd Pl,отне́киваются
Past M,отне́кивался
Past F,отне́кивалась
Past N,отне́кивалось
Past PL,отне́кивались
Imp S,отне́кивайся
Imp PL,отне́кивайтесь
