Infinitive,отвоева́ть
Zaliznyak Class,2a(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отвоева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвоёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвоева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отвоева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвою́ю
2nd Sing,отвою́ешь
3rd Sing,отвою́ет
1st Pl,отвою́ем
2nd Pl,отвою́ете
3rd Pl,отвою́ют
Past M,отвоева́л
Past F,отвоева́ла
Past N,отвоева́ло
Past PL,отвоева́ли
Imp S,отвою́й
Imp PL,отвою́йте
