Infinitive,отбежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отбежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отбежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отбежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отбегу́
2nd Sing,отбежи́шь
3rd Sing,отбежи́т
1st Pl,отбежи́м
2nd Pl,отбежи́те
3rd Pl,отбегу́т
Past M,отбежа́л
Past F,отбежа́ла
Past N,отбежа́ло
Past PL,отбежа́ли
Imp S,отбеги́
Imp PL,отбеги́те
