Infinitive,отстре́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отстре́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстре́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстре́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отстре́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отстре́ливаюсь
2nd Sing,отстре́ливаешься
3rd Sing,отстре́ливается
1st Pl,отстре́ливаемся
2nd Pl,отстре́ливаетесь
3rd Pl,отстре́ливаются
Past M,отстре́ливался
Past F,отстре́ливалась
Past N,отстре́ливалось
Past PL,отстре́ливались
Imp S,отстре́ливайся
Imp PL,отстре́ливайтесь
