Infinitive,отчи́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отчи́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отчи́сленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отчи́слив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отчи́сливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отчи́слю
2nd Sing,отчи́слишь
3rd Sing,отчи́слит
1st Pl,отчи́слим
2nd Pl,отчи́слите
3rd Pl,отчи́слят
Past M,отчи́слил
Past F,отчи́слила
Past N,отчи́слило
Past PL,отчи́слили
Imp S,отчи́сли
Imp PL,отчи́слите
