Infinitive,отча́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отча́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отча́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отча́ливая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отча́ливав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отча́ливавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отча́ливаю
2nd Sing,отча́ливаешь
3rd Sing,отча́ливает
1st Pl,отча́ливаем
2nd Pl,отча́ливаете
3rd Pl,отча́ливают
Past M,отча́ливал
Past F,отча́ливала
Past N,отча́ливало
Past PL,отча́ливали
Imp S,отча́ливай
Imp PL,отча́ливайте
