Infinitive,отдыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отдыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отдыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отдыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отдыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отдыха́ю
2nd Sing,отдыха́ешь
3rd Sing,отдыха́ет
1st Pl,отдыха́ем
2nd Pl,отдыха́ете
3rd Pl,отдыха́ют
Past M,отдыха́л
Past F,отдыха́ла
Past N,отдыха́ло
Past PL,отдыха́ли
Imp S,отдыха́й
Imp PL,отдыха́йте
