Infinitive,отползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отпо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отползу́
2nd Sing,отползёшь
3rd Sing,отползёт
1st Pl,отползём
2nd Pl,отползёте
3rd Pl,отползу́т
Past M,отпо́лз
Past F,отползла́
Past N,отползло́
Past PL,отползли́
Imp S,отползи́
Imp PL,отползи́те
