Infinitive,отверде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отверде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отверде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отверде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отверде́ю
2nd Sing,отверде́ешь
3rd Sing,отверде́ет
1st Pl,отверде́ем
2nd Pl,отверде́ете
3rd Pl,отверде́ют
Past M,отверде́л
Past F,отверде́ла
Past N,отверде́ло
Past PL,отверде́ли
Imp S,отверде́й
Imp PL,отверде́йте
