Infinitive,отмере́ть
Zaliznyak Class,9*b/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,о́тмерший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,отме́рший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отмере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,о́тмерши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отомру́
2nd Sing,отомрёшь
3rd Sing,отомрёт
1st Pl,отомрём
2nd Pl,отомрёте
3rd Pl,отомру́т
Past M,о́тмер
Past F,отмерла́
Past N,о́тмерло
Past PL,о́тмерли
Imp S,отомри́
Imp PL,отомри́те
