Infinitive,отря́хиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отря́хивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отря́хивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отря́хиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отря́хивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отря́хиваюсь
2nd Sing,отря́хиваешься
3rd Sing,отря́хивается
1st Pl,отря́хиваемся
2nd Pl,отря́хиваетесь
3rd Pl,отря́хиваются
Past M,отря́хивался
Past F,отря́хивалась
Past N,отря́хивалось
Past PL,отря́хивались
Imp S,отря́хивайся
Imp PL,отря́хивайтесь
