Infinitive,отреаги́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отреаги́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отреаги́ровав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отреаги́ровавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отреаги́рую
2nd Sing,отреаги́руешь
3rd Sing,отреаги́рует
1st Pl,отреаги́руем
2nd Pl,отреаги́руете
3rd Pl,отреаги́руют
Past M,отреаги́ровал
Past F,отреаги́ровала
Past N,отреаги́ровало
Past PL,отреаги́ровали
Imp S,отреаги́руй
Imp PL,отреаги́руйте
