Infinitive,отплати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отплати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпла́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отплати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отплати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отплачу́
2nd Sing,отпла́тишь
3rd Sing,отпла́тит
1st Pl,отпла́тим
2nd Pl,отпла́тите
3rd Pl,отпла́тят
Past M,отплати́л
Past F,отплати́ла
Past N,отплати́ло
Past PL,отплати́ли
Imp S,отплати́
Imp PL,отплати́те
