Infinitive,отдыша́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отдыша́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдыша́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отдышу́сь
2nd Sing,отды́шишься
3rd Sing,отды́шится
1st Pl,отды́шимся
2nd Pl,отды́шитесь
3rd Pl,отды́шатся
Past M,отдыша́лся
Past F,отдыша́лась
Past N,отдыша́лось
Past PL,отдыша́лись
Imp S,отдыши́сь
Imp PL,отдыши́тесь
