Infinitive,отчуди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отчуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отчуждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отчуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отчуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отчужу́
2nd Sing,отчуди́шь
3rd Sing,отчуди́т
1st Pl,отчуди́м
2nd Pl,отчуди́те
3rd Pl,отчудя́т
Past M,отчуди́л
Past F,отчуди́ла
Past N,отчуди́ло
Past PL,отчуди́ли
Imp S,отчуди́
Imp PL,отчуди́те
