Infinitive,отме́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отме́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отме́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отме́чусь
2nd Sing,отме́тишься
3rd Sing,отме́тится
1st Pl,отме́тимся
2nd Pl,отме́титесь
3rd Pl,отме́тятся
Past M,отме́тился
Past F,отме́тилась
Past N,отме́тилось
Past PL,отме́тились
Imp S,отме́ться
Imp PL,отме́тьтесь
