Infinitive,отделя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отделя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отделя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отделя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отделя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отделя́юсь
2nd Sing,отделя́ешься
3rd Sing,отделя́ется
1st Pl,отделя́емся
2nd Pl,отделя́етесь
3rd Pl,отделя́ются
Past M,отделя́лся
Past F,отделя́лась
Past N,отделя́лось
Past PL,отделя́лись
Imp S,отделя́йся
Imp PL,отделя́йтесь
