Infinitive,отождестви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отождестви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отождествлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отождестви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отождестви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отождествлю́
2nd Sing,отождестви́шь
3rd Sing,отождестви́т
1st Pl,отождестви́м
2nd Pl,отождестви́те
3rd Pl,отождествя́т
Past M,отождестви́л
Past F,отождестви́ла
Past N,отождестви́ло
Past PL,отождестви́ли
Imp S,отождестви́
Imp PL,отождестви́те
