Infinitive,отде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отде́лаю
2nd Sing,отде́лаешь
3rd Sing,отде́лает
1st Pl,отде́лаем
2nd Pl,отде́лаете
3rd Pl,отде́лают
Past M,отде́лал
Past F,отде́лала
Past N,отде́лало
Past PL,отде́лали
Imp S,отде́лай
Imp PL,отде́лайте
