Infinitive,отва́житься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отва́жившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отва́жившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отва́жусь
2nd Sing,отва́жишься
3rd Sing,отва́жится
1st Pl,отва́жимся
2nd Pl,отва́житесь
3rd Pl,отва́жатся
Past M,отва́жился
Past F,отва́жилась
Past N,отва́жилось
Past PL,отва́жились
Imp S,отва́жься
Imp PL,отва́жьтесь
