Infinitive,относи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,относя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,относи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,относя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,относи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отношу́сь
2nd Sing,отно́сишься
3rd Sing,отно́сится
1st Pl,отно́симся
2nd Pl,отно́ситесь
3rd Pl,отно́сятся
Past M,относи́лся
Past F,относи́лась
Past N,относи́лось
Past PL,относи́лись
Imp S,относи́сь
Imp PL,относи́тесь
