Infinitive,откры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,откры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,откры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,откры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,откры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откро́ю
2nd Sing,откро́ешь
3rd Sing,откро́ет
1st Pl,откро́ем
2nd Pl,откро́ете
3rd Pl,откро́ют
Past M,откры́л
Past F,откры́ла
Past N,откры́ло
Past PL,откры́ли
Imp S,откро́й
Imp PL,откро́йте
