Infinitive,отсыла́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсыла́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсыла́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсыла́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отсыла́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отсыла́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отсыла́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отсыла́ю
2nd Sing,отсыла́ешь
3rd Sing,отсыла́ет
1st Pl,отсыла́ем
2nd Pl,отсыла́ете
3rd Pl,отсыла́ют
Past M,отсыла́л
Past F,отсыла́ла
Past N,отсыла́ло
Past PL,отсыла́ли
Imp S,отсыла́й
Imp PL,отсыла́йте
