Infinitive,отма́лчиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отма́лчивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отма́лчивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отма́лчиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отма́лчивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отма́лчиваюсь
2nd Sing,отма́лчиваешься
3rd Sing,отма́лчивается
1st Pl,отма́лчиваемся
2nd Pl,отма́лчиваетесь
3rd Pl,отма́лчиваются
Past M,отма́лчивался
Past F,отма́лчивалась
Past N,отма́лчивалось
Past PL,отма́лчивались
Imp S,отма́лчивайся
Imp PL,отма́лчивайтесь
