Infinitive,отменя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отменя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отменя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отменя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отменя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отменя́юсь
2nd Sing,отменя́ешься
3rd Sing,отменя́ется
1st Pl,отменя́емся
2nd Pl,отменя́етесь
3rd Pl,отменя́ются
Past M,отменя́лся
Past F,отменя́лась
Past N,отменя́лось
Past PL,отменя́лись
Imp S,отменя́йся
Imp PL,отменя́йтесь
