Infinitive,оттолкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оттолкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отто́лкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оттолкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оттолкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оттолкну́
2nd Sing,оттолкнёшь
3rd Sing,оттолкнёт
1st Pl,оттолкнём
2nd Pl,оттолкнёте
3rd Pl,оттолкну́т
Past M,оттолкну́л
Past F,оттолкну́ла
Past N,оттолкну́ло
Past PL,оттолкну́ли
Imp S,оттолкни́
Imp PL,оттолкни́те
