Infinitive,отри́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отри́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отри́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отри́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отри́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отри́ну
2nd Sing,отри́нешь
3rd Sing,отри́нет
1st Pl,отри́нем
2nd Pl,отри́нете
3rd Pl,отри́нут
Past M,отри́нул
Past F,отри́нула
Past N,отри́нуло
Past PL,отри́нули
Imp S,отри́нь
Imp PL,отри́ньте
