Infinitive,отто́ргнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отто́ргший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,отто́ргнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отто́ргнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отто́ргнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отто́ргши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отто́ргну
2nd Sing,отто́ргнешь
3rd Sing,отто́ргнет
1st Pl,отто́ргнем
2nd Pl,отто́ргнете
3rd Pl,отто́ргнут
Past M,отто́рг
Past F,отто́ргла
Past N,отто́ргло
Past PL,отто́ргли
Imp S,отто́ргни
Imp PL,отто́ргните
