Infinitive,оттолкну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оттолкну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оттолкну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оттолкну́сь
2nd Sing,оттолкнёшься
3rd Sing,оттолкнётся
1st Pl,оттолкнёмся
2nd Pl,оттолкнётесь
3rd Pl,оттолкну́тся
Past M,оттолкну́лся
Past F,оттолкну́лась
Past N,оттолкну́лось
Past PL,оттолкну́лись
Imp S,оттолкни́сь
Imp PL,оттолкни́тесь
