Infinitive,отшвырну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отшвырну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отшвы́рнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отшвырну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отшвырну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отшвырну́
2nd Sing,отшвырнёшь
3rd Sing,отшвырнёт
1st Pl,отшвырнём
2nd Pl,отшвырнёте
3rd Pl,отшвырну́т
Past M,отшвырну́л
Past F,отшвырну́ла
Past N,отшвырну́ло
Past PL,отшвырну́ли
Imp S,отшвырни́
Imp PL,отшвырни́те
