Infinitive,отсе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсе́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,отсёкший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсечённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отсе́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отсёкши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отсеку́
2nd Sing,отсечёшь
3rd Sing,отсечёт
1st Pl,отсечём
2nd Pl,отсечёте
3rd Pl,отсеку́т
Past M,отсёк
Past F,отсекла́
Past N,отсекло́
Past PL,отсекли́
Imp S,отсеки́
Imp PL,отсеки́те
