Infinitive,отпра́здновать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпра́здновавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпра́зднованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпра́здновав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпра́здновавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпра́здную
2nd Sing,отпра́зднуешь
3rd Sing,отпра́зднует
1st Pl,отпра́зднуем
2nd Pl,отпра́зднуете
3rd Pl,отпра́зднуют
Past M,отпра́здновал
Past F,отпра́здновала
Past N,отпра́здновало
Past PL,отпра́здновали
Imp S,отпра́зднуй
Imp PL,отпра́зднуйте
