Infinitive,отклони́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отклони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отклонённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отклони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отклони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отклоню́
2nd Sing,откло́нишь
3rd Sing,откло́нит
1st Pl,откло́ним
2nd Pl,откло́ните
3rd Pl,откло́нят
Past M,отклони́л
Past F,отклони́ла
Past N,отклони́ло
Past PL,отклони́ли
Imp S,отклони́
Imp PL,отклони́те
