Infinitive,отде́латься
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отде́лавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отде́лавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отде́лаюсь
2nd Sing,отде́лаешься
3rd Sing,отде́лается
1st Pl,отде́лаемся
2nd Pl,отде́лаетесь
3rd Pl,отде́лаются
Past M,отде́лался
Past F,отде́лалась
Past N,отде́лалось
Past PL,отде́лались
Imp S,отде́лайся
Imp PL,отде́лайтесь
