Infinitive,отрепети́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отрепети́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрепети́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрепети́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отрепети́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отрепети́рую
2nd Sing,отрепети́руешь
3rd Sing,отрепети́рует
1st Pl,отрепети́руем
2nd Pl,отрепети́руете
3rd Pl,отрепети́руют
Past M,отрепети́ровал
Past F,отрепети́ровала
Past N,отрепети́ровало
Past PL,отрепети́ровали
Imp S,отрепети́руй
Imp PL,отрепети́руйте
