Infinitive,отсня́ть
Zaliznyak Class,14c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсня́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отсня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отсниму́
2nd Sing,отсни́мешь
3rd Sing,отсни́мет
1st Pl,отсни́мем
2nd Pl,отсни́мете
3rd Pl,отсни́мут
Past M,отсня́л
Past F,отсняла́
Past N,отсня́ло
Past PL,отсня́ли
Imp S,отсними́
Imp PL,отсними́те
