Infinitive,отве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отве́шу
2nd Sing,отве́сишь
3rd Sing,отве́сит
1st Pl,отве́сим
2nd Pl,отве́сите
3rd Pl,отве́сят
Past M,отве́сил
Past F,отве́сила
Past N,отве́сило
Past PL,отве́сили
Imp S,отве́сь
Imp PL,отве́сьте
