Infinitive,отла́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отла́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отла́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отла́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отла́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отла́жу
2nd Sing,отла́дишь
3rd Sing,отла́дит
1st Pl,отла́дим
2nd Pl,отла́дите
3rd Pl,отла́дят
Past M,отла́дил
Past F,отла́дила
Past N,отла́дило
Past PL,отла́дили
Imp S,отла́дь
Imp PL,отла́дьте
