Infinitive,отточи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отточи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отто́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отточи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отточи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отточу́
2nd Sing,отто́чишь
3rd Sing,отто́чит
1st Pl,отто́чим
2nd Pl,отто́чите
3rd Pl,отто́чат
Past M,отточи́л
Past F,отточи́ла
Past N,отточи́ло
Past PL,отточи́ли
Imp S,отточи́
Imp PL,отточи́те
