Infinitive,отпеча́таться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отпеча́тавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпеча́тавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отпеча́таюсь
2nd Sing,отпеча́таешься
3rd Sing,отпеча́тается
1st Pl,отпеча́таемся
2nd Pl,отпеча́таетесь
3rd Pl,отпеча́таются
Past M,отпеча́тался
Past F,отпеча́талась
Past N,отпеча́талось
Past PL,отпеча́тались
Imp S,отпеча́тайся
Imp PL,отпеча́тайтесь
