Infinitive,отли́ть
Zaliznyak Class,11*b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́тлитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отли́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отолью́
2nd Sing,отольёшь
3rd Sing,отольёт
1st Pl,отольём
2nd Pl,отольёте
3rd Pl,отолью́т
Past M,о́тлил
Past F,отлила́
Past N,о́тлило
Past PL,о́тлили
Imp S,отле́й
Imp PL,отле́йте
