Infinitive,отста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отста́ну
2nd Sing,отста́нешь
3rd Sing,отста́нет
1st Pl,отста́нем
2nd Pl,отста́нете
3rd Pl,отста́нут
Past M,отста́л
Past F,отста́ла
Past N,отста́ло
Past PL,отста́ли
Imp S,отста́нь
Imp PL,отста́ньте
