Infinitive,отрави́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отрави́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрави́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отравлю́сь
2nd Sing,отра́вишься
3rd Sing,отра́вится
1st Pl,отра́вимся
2nd Pl,отра́витесь
3rd Pl,отра́вятся
Past M,отрави́лся
Past F,отрави́лась
Past N,отрави́лось
Past PL,отрави́лись
Imp S,отрави́сь
Imp PL,отрави́тесь
