Infinitive,отговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отговорю́
2nd Sing,отговори́шь
3rd Sing,отговори́т
1st Pl,отговори́м
2nd Pl,отговори́те
3rd Pl,отговоря́т
Past M,отговори́л
Past F,отговори́ла
Past N,отговори́ло
Past PL,отговори́ли
Imp S,отговори́
Imp PL,отговори́те
