Infinitive,отку́порить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отку́поривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отку́поренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отку́порив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отку́поривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отку́порю
2nd Sing,отку́поришь
3rd Sing,отку́порит
1st Pl,отку́порим
2nd Pl,отку́порите
3rd Pl,отку́порят
Past M,отку́порил
Past F,отку́порила
Past N,отку́порило
Past PL,отку́порили
Imp S,отку́порь
Imp PL,отку́порьте
