Infinitive,отступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отступлю́сь
2nd Sing,отсту́пишься
3rd Sing,отсту́пится
1st Pl,отсту́пимся
2nd Pl,отсту́питесь
3rd Pl,отсту́пятся
Past M,отступи́лся
Past F,отступи́лась
Past N,отступи́лось
Past PL,отступи́лись
Imp S,отступи́сь
Imp PL,отступи́тесь
