Infinitive,отстре́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отстре́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстре́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстре́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отстре́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отстре́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отстре́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отстре́ливаю
2nd Sing,отстре́ливаешь
3rd Sing,отстре́ливает
1st Pl,отстре́ливаем
2nd Pl,отстре́ливаете
3rd Pl,отстре́ливают
Past M,отстре́ливал
Past F,отстре́ливала
Past N,отстре́ливало
Past PL,отстре́ливали
Imp S,отстре́ливай
Imp PL,отстре́ливайте
