Infinitive,отобра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отобра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ото́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отобра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отобра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отберу́
2nd Sing,отберёшь
3rd Sing,отберёт
1st Pl,отберём
2nd Pl,отберёте
3rd Pl,отберу́т
Past M,отобра́л
Past F,отобрала́
Past N,отобра́ло
Past PL,отобра́ли
Imp S,отбери́
Imp PL,отбери́те
