Infinitive,отры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отро́ю
2nd Sing,отро́ешь
3rd Sing,отро́ет
1st Pl,отро́ем
2nd Pl,отро́ете
3rd Pl,отро́ют
Past M,отры́л
Past F,отры́ла
Past N,отры́ло
Past PL,отры́ли
Imp S,отро́й
Imp PL,отро́йте
