Infinitive,отсиде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсиде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отси́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсиде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отсиде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отсижу́
2nd Sing,отсиди́шь
3rd Sing,отсиди́т
1st Pl,отсиди́м
2nd Pl,отсиди́те
3rd Pl,отсидя́т
Past M,отсиде́л
Past F,отсиде́ла
Past N,отсиде́ло
Past PL,отсиде́ли
Imp S,отсиди́
Imp PL,отсиди́те
