Infinitive,отвали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отвалю́сь
2nd Sing,отва́лишься
3rd Sing,отва́лится
1st Pl,отва́лимся
2nd Pl,отва́литесь
3rd Pl,отва́лятся
Past M,отвали́лся
Past F,отвали́лась
Past N,отвали́лось
Past PL,отвали́лись
Imp S,отвали́сь
Imp PL,отвали́тесь
