Infinitive,отсиде́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отсиде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсиде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отсижу́сь
2nd Sing,отсиди́шься
3rd Sing,отсиди́тся
1st Pl,отсиди́мся
2nd Pl,отсиди́тесь
3rd Pl,отсидя́тся
Past M,отсиде́лся
Past F,отсиде́лась
Past N,отсиде́лось
Past PL,отсиде́лись
Imp S,отсиди́сь
Imp PL,отсиди́тесь
