Infinitive,отыгра́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отыгра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отыгра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отыгра́юсь
2nd Sing,отыгра́ешься
3rd Sing,отыгра́ется
1st Pl,отыгра́емся
2nd Pl,отыгра́етесь
3rd Pl,отыгра́ются
Past M,отыгра́лся
Past F,отыгра́лась
Past N,отыгра́лось
Past PL,отыгра́лись
Imp S,отыгра́йся
Imp PL,отыгра́йтесь
