Infinitive,отчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отчита́ю
2nd Sing,отчита́ешь
3rd Sing,отчита́ет
1st Pl,отчита́ем
2nd Pl,отчита́ете
3rd Pl,отчита́ют
Past M,отчита́л
Past F,отчита́ла
Past N,отчита́ло
Past PL,отчита́ли
Imp S,отчита́й
Imp PL,отчита́йте
