Infinitive,отпи́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпи́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпи́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпи́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отпи́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отпи́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отпи́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отпи́хиваю
2nd Sing,отпи́хиваешь
3rd Sing,отпи́хивает
1st Pl,отпи́хиваем
2nd Pl,отпи́хиваете
3rd Pl,отпи́хивают
Past M,отпи́хивал
Past F,отпи́хивала
Past N,отпи́хивало
Past PL,отпи́хивали
Imp S,отпи́хивай
Imp PL,отпи́хивайте
