Infinitive,отодви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отодви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отодви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отодви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отодви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отодви́ну
2nd Sing,отодви́нешь
3rd Sing,отодви́нет
1st Pl,отодви́нем
2nd Pl,отодви́нете
3rd Pl,отодви́нут
Past M,отодви́нул
Past F,отодви́нула
Past N,отодви́нуло
Past PL,отодви́нули
Imp S,отодви́нь
Imp PL,отодви́ньте
