Infinitive,отлупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отлупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлу́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отлупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отлупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отлуплю́
2nd Sing,отлу́пишь
3rd Sing,отлу́пит
1st Pl,отлу́пим
2nd Pl,отлу́пите
3rd Pl,отлу́пят
Past M,отлупи́л
Past F,отлупи́ла
Past N,отлупи́ло
Past PL,отлупи́ли
Imp S,отлупи́
Imp PL,отлупи́те
