Infinitive,отрасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отрасту́
2nd Sing,отрастёшь
3rd Sing,отрастёт
1st Pl,отрастём
2nd Pl,отрастёте
3rd Pl,отрасту́т
Past M,отро́с
Past F,отросла́
Past N,отросло́
Past PL,отросли́
Imp S,отрасти́otrastí
Imp PL,отрасти́те
