Infinitive,отзыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отзыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отзыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отзыва́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отзыва́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отзыва́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отзыва́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отзыва́ю
2nd Sing,отзыва́ешь
3rd Sing,отзыва́ет
1st Pl,отзыва́ем
2nd Pl,отзыва́ете
3rd Pl,отзыва́ют
Past M,отзыва́л
Past F,отзыва́ла
Past N,отзыва́ло
Past PL,отзыва́ли
Imp S,отзыва́й
Imp PL,отзыва́йте
