Infinitive,отвле́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвлёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвлёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отвлеку́сь
2nd Sing,отвлечёшься
3rd Sing,отвлечётся
1st Pl,отвлечёмся
2nd Pl,отвлечётесь
3rd Pl,отвлеку́тся
Past M,отвлёкся
Past F,отвлекла́сь
Past N,отвлекло́сь
Past PL,отвлекли́сь
Imp S,отвлеки́сь
Imp PL,отвлеки́тесь
