Infinitive,отгора́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отгора́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отгора́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отгора́живаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отгора́живая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отгора́живав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отгора́живавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отгора́живаю
2nd Sing,отгора́живаешь
3rd Sing,отгора́живает
1st Pl,отгора́живаем
2nd Pl,отгора́живаете
3rd Pl,отгора́живают
Past M,отгора́живал
Past F,отгора́живала
Past N,отгора́живало
Past PL,отгора́живали
Imp S,отгора́живай
Imp PL,отгора́живайте
