Infinitive,отклика́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отклика́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отклика́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отклика́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отклика́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отклика́юсь
2nd Sing,отклика́ешься
3rd Sing,отклика́ется
1st Pl,отклика́емся
2nd Pl,отклика́етесь
3rd Pl,отклика́ются
Past M,отклика́лся
Past F,отклика́лась
Past N,отклика́лось
Past PL,отклика́лись
Imp S,отклика́йся
Imp PL,отклика́йтесь
