Infinitive,отшути́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отшути́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отшути́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отшучу́сь
2nd Sing,отшу́тишься
3rd Sing,отшу́тится
1st Pl,отшу́тимся
2nd Pl,отшу́титесь
3rd Pl,отшу́тятся
Past M,отшути́лся
Past F,отшути́лась
Past N,отшути́лось
Past PL,отшути́лись
Imp S,отшути́сь
Imp PL,отшути́тесь
