Infinitive,отяжеле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отяжеле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отяжеле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отяжеле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отяжеле́ю
2nd Sing,отяжеле́ешь
3rd Sing,отяжеле́ет
1st Pl,отяжеле́ем
2nd Pl,отяжеле́ете
3rd Pl,отяжеле́ют
Past M,отяжеле́л
Past F,отяжеле́ла
Past N,отяжеле́ло
Past PL,отяжеле́ли
Imp S,отяжеле́й
Imp PL,отяжеле́йте
